remove_multi_app_blacklist	앱 복제 차단 목록 해제
remove_multi_app_blacklist_summary	기기를 다시 시작해야 합니다.
remove_multi_app_create_limit_per_app	앱별 복제 개수 제한 해제
remove_multi_app_create_limit_per_app_summary	앱 하나당 만들 수 있는 복제 앱의 수입니다.
remove_multi_app_create_limit_total_app	복제 가능한 앱 수 제한 해제
remove_multi_app_create_limit_total_app_summary	복제 기능을 사용할 수 있는 원본 앱의 수입니다.
remove_multi_app_created_num_limit_for_users	앱 복제 개수 제한 모두 해제
remove_multi_app_created_num_limit_for_users_summary	앱별 복제 개수와 복제 가능한 전체 앱 수의 제한을 모두 해제합니다.
AppInstallationRelated	앱 설치
PackageInstaller_summary	코어 패치와 함께 사용해야 합니다.
force_enable_32_bit_support	32비트 앱 지원 강제 활성화
force_enable_32_bit_support_summary	기기를 다시 시작해야 합니다.
fix_install_button_display_exception	설치 버튼 표시 오류 수정
fix_install_button_display_exception_summary	설치 버튼이 잘못 표시되거나 설치 중 앱이 종료되는 문제에 대응합니다.
disable_start_app_detail	설치 시 AppDetail 실행 건너뛰기
disable_start_app_detail_summary	제조사 설치 프로그램의 AppDetail 검사 단계를 건너뜁니다.
show_more_apk_package_information	설치 패키지 상세 정보 표시
show_more_apk_package_information_summary	설치 화면 위쪽에 패키지 이름과 버전 코드 등을 표시합니다.
skip_apk_scan	APK 검사 건너뛰기
skip_apk_scan_summary	설치 패키지의 바이러스 검사 단계를 건너뜁니다.
allow_downgrade_install	다운그레이드 설치 허용
allow_downgrade_install_summary	동일하거나 낮은 버전을 설치할 때 나타나는 경고 등을 없앱니다.
disable_apk_signature_verification	설치 프로그램의 APK 서명 검증 끄기
disable_apk_signature_verification_summary	서명이 다른 앱을 설치할 수 있도록 허용합니다. 코어 패치와 함께 사용하세요.
remove_install_ads	설치 완료 화면의 광고 숨기기
remove_install_ads_summary	시스템 설정의 안전한 앱 추천도 꺼 주세요.
auto_click_install_button	설치 버튼 자동 누르기
auto_click_uninstall_button	제거 버튼 자동 누르기
ApplyOtherRestrictions	기타 앱 제한
remove_adb_install_confirm	ADB 설치 확인 생략
remove_adb_install_confirm_summary	기기에서 확인 버튼을 누르지 않고 ADB로 앱을 설치합니다.
unlock_startup_limit	자동 시작 앱 수 제한 해제
unlock_startup_limit_summary	자동으로 시작할 수 있는 앱의 수 제한을 해제합니다.
unlock_task_locks	최근 앱 잠금 개수 제한 해제
