enable_developer_page	개발자 화면 사용
enable_eva_theme	에반게리온(EVA) 테마 사용
enable_developer_page_summary	이 기능을 켜고 적용 대상 프로세스를 다시 시작하면\n시스템 바로가기를 통해 해당 화면을 열 수 있습니다.
enable_adreno_gpu_controller	Adreno GPU 제어 기능 사용
enable_support_competition_mode	대회 모드 사용
remove_competition_mode_sound	대회 모드 효과음 끄기
enable_increase_fps_limit_feature	게임 프레임 보간 사용
enable_increase_fps_feature	프레임 수 향상 기능 사용
enable_optimise_power_feature	전력 소모 최적화 사용
enable_gt_mode_feature	GT 모드 사용
enable_x_mode_feature	X 모드 사용
enable_super_resolution_feature	초고해상도 기능 사용
enable_one_plus_characteristic	OnePlus 전용 기능 사용
custom_media_player_support	미디어 플레이어 지원 앱
custom_media_player_support_message	추가할 미디어 플레이어의 패키지 이름을 한 줄에 하나씩 입력해 주세요.
custom_barrage_notification_whitelist_list	흐르는 알림 허용 앱
enable_game_run_in_background	게임을 백그라운드에서 계속 실행
enable_game_ai_play	AI 게임 도우미 사용
remove_danmaku_notification_whitelist	흐르는 알림의 앱 제한 해제
remove_game_voice_changer_whitelist	게임 음성 변조의 앱 제한 해제
remove_game_assistant_temperature_detection	게임 도우미 온도 검사 끄기
remove_game_assistant_temperature_detection_summary	X 모드 등에서 온도가 높을 때 작동하는 제한을 해제합니다. 실제 발열을 줄이는 기능은 아닙니다.
remove_network_limit	모바일 데이터 사용 제한 해제
remove_network_limit_summary	모바일 데이터로도 백업과 복원을 할 수 있도록 허용합니다.
unlock_themestore_vip	일부 VIP 기능 제한 해제
unlock_themestore_vip_summary	일부 기능의 제한을 해제합니다. 지원 여부는 직접 확인해 주세요.
Screenshot	스크린샷
disable_flag_secure	화면 캡처 방지(FLAG_SECURE) 끄기
disable_flag_secure_summary	대부분의 앱에서 스크린샷, 화면 공유, 화면 녹화 제한을 해제합니다.\nLSPosed 1.8.6 이상이 필요합니다.
remove_page_limit_for_long_screenshots	스크롤 캡처 길이 제한 해제
remove_page_limit_for_long_screenshots_summary	일부 화면에서만 작동합니다. 사용 중인 앱에서 지원 여부를 확인해 주세요.
enable_png_save_format	PNG 형식으로 저장
unlock_local_upgrade	로컬 업데이트 설치 허용
