memc_menu_reset	초기화
memc_reset_confirm	동영상 프레임 보간 설정을 기본값으로 되돌릴까요?
memc_reset_select_preset	프리셋 선택
memc_import_success	설정을 가져왔어요.
memc_import_failed	설정을 가져오지 못했어요: %1$s
memc_reset_success	설정을 초기화했어요.
memc_pick_package	앱 선택
memc_pick_activity	액티비티 선택
memc_data_incomplete	필요한 정보를 모두 입력해 주세요.
battery_info	배터리 상세 정보
battery_info_summary	배터리 상태와 충전·방전 정보를 실시간으로 확인합니다.
SoundRelated	소리
remove_gms_usage_restrictions	Google 모바일 서비스(GMS) 사용 제한 해제
custom_remote_provisioning_hostname	원격 키 프로비저닝 서버 주소
custom_remote_provisioning_hostname_summary	기기 증명 인증서(attestation)를 받을 때 사용할 프록시 서버를 설정합니다.
replace_system_root_state_detection	시스템 루트 상태 감지 결과 바꾸기
enable_keep_notification_when_app_stop	앱을 강제 종료해도 알림 유지
disable_long_press_home_key_start_speech_asssist	홈 버튼을 길게 눌러 음성 도우미 실행 끄기
custom_gaussian_blur_level	가우시안 흐림 효과 강도
set_ltpo_refresh_rate_mode	LTPO 주사율 모드
enable_full_brightness_min_refresh_1	모든 밝기에서 최저 주사율 1Hz 허용
enable_full_brightness_min_refresh_1_summary	일부 기기에서는 게임 도우미와 충돌해 화면이 깜박일 수 있습니다.
enable_screen_rgb_color_temperature_ball	화면 색 온도 RGB 조절기 사용
enable_video_memc_frame_insertion	동영상 프레임 보간 사용
enable_game_architecture_display	게임 아키텍처 정보 표시
enable_hasselblad_image_intro_page	핫셀블라드 카메라 소개 화면 표시
enable_mariana_npu_intro_page	MariSilicon NPU 소개 화면 표시
customize_device_ota_card_background	기기 정보의 업데이트 카드 배경 바꾸기
enable_night_scene_30x_zoom	야간 촬영에서 30배 줌 사용
enable_ai_master_watermark	AI 마스터 워터마크 사용
enable_display_app_update_dot	앱 업데이트 알림 점 표시
force_enable_multi_window_mode	다중 팝업 창 모드 강제 활성화
enable_screen_color_temperature_rgb_space	화면 색 온도 RGB 색 공간 사용
enable_clear_voice	선명한 음성 사용
enable_sound_sealed_call	통화 소리 새어 나감 방지 사용
enable_recent_task_pin_capsule	최근 앱의 고정 캡슐 표시 사용
remove_aigc_elimination_limit	AI 지우개의 사용 제한 해제
enable_lns_cut_photo	빠른 피사체 분리 사용
enable_lns_cut_photo_summary	갤러리의 빠른 피사체 분리(lns) 기능을 켭니다.
GalleryEditor	사진 편집기
enable_opex_local_install	Opex 로컬 설치 허용
disable_dm_verity	dm-verity 검증 끄기
disable_dm_verity_summary	기기 무결성을 확인하는 dm-verity 검증을 비활성화합니다.
remove_ota_notify_install_success	OTA 업데이트 설치 완료 알림 숨기기
remove_ota_auto_download_dialog	OTA 업데이트 자동 다운로드 팝업 숨기기
remove_ota_local_update_verity	로컬 OTA 업데이트 검증 끄기
remove_ota_local_update_verity_summary	로컬 OTA 업데이트 패키지의 검증 제한(forbid_ota_local_update / ota_root_or_debug)을 해제합니다.
force_enable_media_music_fluid_cloud_ripple	음악 재생의 Fluid Cloud 물결 효과 강제 활성화
customize_device_ota_card_background_path	배경 이미지 경로
hide_card_top_text	카드 상단 문구 숨기기
apply_to_device_sharing_page	기기 정보 공유 화면에도 적용
custom_processor_image_path_switch	프로세서 이미지 바꾸기
customize_processor_image_path	배경 이미지 경로
custom_processor_introduction_text	프로세서 소개 문구
custom_processor_introduction_text_summary	권장 이미지 크기: 624 × 352픽셀
custom_video_dynamic_frame_insertion_configuration	동영상 프레임 보간 세부 설정
fix_default_app_jump_problem	기본 앱으로 열리지 않는 문제 수정
settings_connection_sharing	연결 및 공유
settings_sound	소리
enable_voice_highlight	목소리 강조 사용
enable_voice_highlight_summary	LSPosed 적용 대상에서 휴대폰 관리자를 선택해야 합니다.
enable_holo_audio	홀로 오디오 사용
settings_password_security	비밀번호 및 보안
enable_google_auto_fill	Google 자동 완성 사용
force_display_password_management_setting	비밀번호 관리 설정 강제 표시
disable_device_admin_verification_dialog	기기 관리자 확인 팝업 끄기
enable_increase_brightness_range	밝기 조절 범위 확대
enable_lowest_auto_brightness_adjustment	자동 밝기의 최저 밝기 조절 사용
enable_smart_switch_screen_resolution	화면 해상도 자동 전환 사용
force_enable_reduce_bright_colors	화이트 포인트 줄이기 강제 활성화
enable_touch_membrane_protector_mode	화면 보호 필름용 터치 모드 사용
enable_swipe_up_navigation_gesture	위로 밀어 탐색하는 제스처 사용
enable_game_dedicated_memory	게임 전용 메모리 사용
enable_game_acceleration	게임 가속 사용
auto_jump_accessibility_settings	접근성 설정으로 바로 이동
settings_other_settings	기타 설정
remove_device_name_change_limit	기기 이름 변경 제한 해제
screen_physics_size_shown_cm	화면의 실제 크기를 cm로 표시
auto_unlock_restricted_settings	제한된 설정 자동 해제
auto_unlock_restricted_settings_summary	회색으로 비활성화된 옵션을 누르면 해당 제한을 자동으로 해제합니다.
enable_show_never_timeout_summary_v2	켜면 시스템 설정에서 추가 옵션을 선택할 수 있습니다.
customize_battery_health_data_percentage	배터리 상태 표시값 변경
